178	371	326	479	332	226	125	89	112	192	153	215
449	344	214	72	68	98	81	71	73	92	102	240
287	161	147	108	84	72	69	64	63	67	72	141
196	96	112	79	60	49	44	38	40	48	57	216
242	381	184	169	121	98	73	73	69	86	86	92
159	144	137	93	66	61	56	57	71	73	96	68
102	53	75	58	42	56	40	34	42	69	101	225
147	218	232	123	81	68	77	65	52	105	167	162
237	218	163	141	102	70	70	52	52	87	131	182
214	156	205	166	96	98	74	61	46	65	57	136
158	164	114	83	65	53	54	41	38	61	135	152
123	145	137	96	90	77	82	83	112	99	147	210
231	195	186	159	116	81	68	54	75	64	127	160
279	171	152	102	85	75	67	52	49	85	126	126
152	341	200	117	97	77	76	76	85	68	115	208
307	215	168	215	108	99	83	71	63	61	141	238
349	195	185	141	100	90	71	70	55	91	169	280
302	231	356	231	139	120	91	79	62	111	119	245
493	389	436	332	218	332	194	131	279	223	271	396
313	175	134	122	118	85	72	67	76	63	81	169
424	351	298	154	115	95	78	68	72	71	119	183
271	242	230	128	113	87	84	89	60	51	62	251
239	220	207	170	117	96	78	65	82	72	102	257
230	293	230	137	113	96	76	64	57	90	104	130
255	231	255	149	102	96	78	70	69	69	81	175
211	107	180	110	85	64	61	54	62	56	58	89
282	220	197	208	121	86	79	68	63	89	83	124
436	323	188	136	117	84	78	64	94	109	155	125
160	234	213	134	97	97	71	61	62	78	73	112
261	125	145	106	138	86	73	58	45	52	73	163
151	329	147	107	79	60	53	42	43	77	85	125
228	189	184	111	85	66	58	57	93	81	194	244
449	246	212	149	112	109	79	65	64	64	113	150
157	186	142	97	86	73	55	55	41	70	80	109
251	185	213	110	76	72	58	45	42	41	59	170
299	229	182	119	84	69	64	54	84	58	105	147
